language,category,count,total_rows,failure_rows,rate_of_all_rows,rate_all_ci_low,rate_all_ci_high,share_of_failures,share_failures_ci_low,share_failures_ci_high
cpp,compile,24,186,93,12.9,8.83,18.48,25.81,18.0,35.53
cpp,runtime,69,186,93,37.1,30.48,44.23,74.19,64.47,82.0
cpp,wrong_answer,0,186,93,0.0,0.0,2.02,0.0,0.0,3.97
cpp,other,0,186,93,0.0,0.0,2.02,0.0,0.0,3.97
csharp,compile,0,199,55,0.0,0.0,1.89,0.0,0.0,6.53
csharp,runtime,54,199,55,27.14,21.43,33.7,98.18,90.39,99.68
csharp,wrong_answer,1,199,55,0.5,0.09,2.79,1.82,0.32,9.61
csharp,other,0,199,55,0.0,0.0,1.89,0.0,0.0,6.53
dart,compile,0,200,87,0.0,0.0,1.88,0.0,0.0,4.23
dart,runtime,87,200,87,43.5,36.82,50.43,100.0,95.77,100.0
dart,wrong_answer,0,200,87,0.0,0.0,1.88,0.0,0.0,4.23
dart,other,0,200,87,0.0,0.0,1.88,0.0,0.0,4.23
elixir,compile,0,198,25,0.0,0.0,1.9,0.0,0.0,13.32
elixir,runtime,25,198,25,12.63,8.7,17.97,100.0,86.68,100.0
elixir,wrong_answer,0,198,25,0.0,0.0,1.9,0.0,0.0,13.32
elixir,other,0,198,25,0.0,0.0,1.9,0.0,0.0,13.32
go,compile,0,191,109,0.0,0.0,1.97,0.0,0.0,3.4
go,runtime,109,191,109,57.07,49.98,63.88,100.0,96.6,100.0
go,wrong_answer,0,191,109,0.0,0.0,1.97,0.0,0.0,3.4
go,other,0,191,109,0.0,0.0,1.97,0.0,0.0,3.4
java,compile,16,188,92,8.51,5.31,13.38,17.39,11.0,26.4
java,runtime,76,188,92,40.43,33.67,47.56,82.61,73.6,89.0
java,wrong_answer,0,188,92,0.0,0.0,2.0,0.0,0.0,4.01
java,other,0,188,92,0.0,0.0,2.0,0.0,0.0,4.01
javascript,compile,0,184,105,0.0,0.0,2.05,0.0,0.0,3.53
javascript,runtime,105,184,105,57.07,49.84,64.0,100.0,96.47,100.0
javascript,wrong_answer,0,184,105,0.0,0.0,2.05,0.0,0.0,3.53
javascript,other,0,184,105,0.0,0.0,2.05,0.0,0.0,3.53
julia,compile,0,200,86,0.0,0.0,1.88,0.0,0.0,4.28
julia,runtime,86,200,86,43.0,36.33,49.93,100.0,95.72,100.0
julia,wrong_answer,0,200,86,0.0,0.0,1.88,0.0,0.0,4.28
julia,other,0,200,86,0.0,0.0,1.88,0.0,0.0,4.28
kotlin,compile,0,200,47,0.0,0.0,1.88,0.0,0.0,7.56
kotlin,runtime,47,200,47,23.5,18.16,29.84,100.0,92.44,100.0
kotlin,wrong_answer,0,200,47,0.0,0.0,1.88,0.0,0.0,7.56
kotlin,other,0,200,47,0.0,0.0,1.88,0.0,0.0,7.56
perl,compile,0,200,111,0.0,0.0,1.88,0.0,0.0,3.35
perl,runtime,111,200,111,55.5,48.57,62.22,100.0,96.65,100.0
perl,wrong_answer,0,200,111,0.0,0.0,1.88,0.0,0.0,3.35
perl,other,0,200,111,0.0,0.0,1.88,0.0,0.0,3.35
php,compile,0,199,128,0.0,0.0,1.89,0.0,0.0,2.91
php,runtime,128,199,128,64.32,57.45,70.65,100.0,97.09,100.0
php,wrong_answer,0,199,128,0.0,0.0,1.89,0.0,0.0,2.91
php,other,0,199,128,0.0,0.0,1.89,0.0,0.0,2.91
python,compile,0,196,110,0.0,0.0,1.92,0.0,0.0,3.37
python,runtime,110,196,110,56.12,49.12,62.89,100.0,96.63,100.0
python,wrong_answer,0,196,110,0.0,0.0,1.92,0.0,0.0,3.37
python,other,0,196,110,0.0,0.0,1.92,0.0,0.0,3.37
r,compile,0,198,90,0.0,0.0,1.9,0.0,0.0,4.09
r,runtime,90,198,90,45.45,38.67,52.41,100.0,95.91,100.0
r,wrong_answer,0,198,90,0.0,0.0,1.9,0.0,0.0,4.09
r,other,0,198,90,0.0,0.0,1.9,0.0,0.0,4.09
racket,compile,0,196,96,0.0,0.0,1.92,0.0,0.0,3.85
racket,runtime,96,196,96,48.98,42.07,55.93,100.0,96.15,100.0
racket,wrong_answer,0,196,96,0.0,0.0,1.92,0.0,0.0,3.85
racket,other,0,196,96,0.0,0.0,1.92,0.0,0.0,3.85
ruby,compile,0,200,74,0.0,0.0,1.88,0.0,0.0,4.94
ruby,runtime,74,200,74,37.0,30.61,43.88,100.0,95.06,100.0
ruby,wrong_answer,0,200,74,0.0,0.0,1.88,0.0,0.0,4.94
ruby,other,0,200,74,0.0,0.0,1.88,0.0,0.0,4.94
rust,compile,0,199,119,0.0,0.0,1.89,0.0,0.0,3.13
rust,runtime,119,199,119,59.8,52.86,66.36,100.0,96.87,100.0
rust,wrong_answer,0,199,119,0.0,0.0,1.89,0.0,0.0,3.13
rust,other,0,199,119,0.0,0.0,1.89,0.0,0.0,3.13
scala,compile,0,199,98,0.0,0.0,1.89,0.0,0.0,3.77
scala,runtime,98,199,98,49.25,42.38,56.14,100.0,96.23,100.0
