language,difficulty,passed,total,pass_rate
cpp,easy,23,29,79.3
cpp,medium,29,39,74.4
cpp,hard,41,118,34.7
csharp,easy,56,61,91.8
csharp,medium,38,46,82.6
csharp,hard,50,92,54.3
dart,easy,19,21,90.5
dart,medium,30,43,69.8
dart,hard,64,136,47.1
elixir,easy,13,13,100.0
elixir,medium,40,46,87.0
elixir,hard,120,139,86.3
go,easy,28,37,75.7
go,medium,26,37,70.3
go,hard,28,117,23.9
java,easy,32,40,80.0
java,medium,31,42,73.8
java,hard,33,106,31.1
javascript,easy,27,29,93.1
javascript,medium,23,37,62.2
javascript,hard,29,118,24.6
julia,easy,24,27,88.9
julia,medium,42,48,87.5
julia,hard,48,125,38.4
kotlin,easy,57,58,98.3
kotlin,medium,52,55,94.5
kotlin,hard,44,87,50.6
perl,easy,36,38,94.7
perl,medium,28,39,71.8
perl,hard,25,123,20.3
php,easy,25,38,65.8
php,medium,29,50,58.0
php,hard,17,111,15.3
python,easy,30,36,83.3
python,medium,20,26,76.9
python,hard,36,134,26.9
r,easy,25,27,92.6
r,medium,33,44,75.0
r,hard,50,127,39.4
racket,easy,14,26,53.8
racket,medium,40,59,67.8
racket,hard,46,111,41.4
ruby,easy,41,47,87.2
ruby,medium,36,45,80.0
ruby,hard,49,108,45.4
rust,easy,8,8,100.0
rust,medium,31,38,81.6
rust,hard,41,153,26.8
scala,easy,21,26,80.8
scala,medium,28,36,77.8
scala,hard,52,137,38.0
shell,easy,25,28,89.3
shell,medium,41,45,91.1
shell,hard,29,115,25.2
swift,easy,19,34,55.9
swift,medium,27,45,60.0
swift,hard,41,121,33.9
typescript,easy,20,23,87.0
typescript,medium,21,26,80.8
typescript,hard,57,150,38.0
