language,condition_id,condition_label,passed,total,pass_rate,ci_low,ci_high
elixir,ff_0000,docs_low_examples_low_contracts_low_state_low,3,16,18.8,6.6,43.0
elixir,ff_0011,docs_low_examples_low_contracts_high_state_high,7,16,43.8,23.1,66.8
elixir,ff_0101,docs_low_examples_high_contracts_low_state_high,7,16,43.8,23.1,66.8
elixir,ff_0110,docs_low_examples_high_contracts_high_state_low,10,16,62.5,38.6,81.5
elixir,ff_1001,docs_high_examples_low_contracts_low_state_high,4,16,25.0,10.2,49.5
elixir,ff_1010,docs_high_examples_low_contracts_high_state_low,6,16,37.5,18.5,61.4
elixir,ff_1100,docs_high_examples_high_contracts_low_state_low,10,16,62.5,38.6,81.5
elixir,ff_1111,docs_high_examples_high_contracts_high_state_high,11,16,68.8,44.4,85.8
python,ff_0000,docs_low_examples_low_contracts_low_state_low,2,16,12.5,3.5,36.0
python,ff_0011,docs_low_examples_low_contracts_high_state_high,12,16,75.0,50.5,89.8
python,ff_0101,docs_low_examples_high_contracts_low_state_high,8,16,50.0,28.0,72.0
python,ff_0110,docs_low_examples_high_contracts_high_state_low,14,16,87.5,64.0,96.5
python,ff_1001,docs_high_examples_low_contracts_low_state_high,3,16,18.8,6.6,43.0
python,ff_1010,docs_high_examples_low_contracts_high_state_low,13,16,81.2,57.0,93.4
python,ff_1100,docs_high_examples_high_contracts_low_state_low,9,16,56.2,33.2,76.9
python,ff_1111,docs_high_examples_high_contracts_high_state_high,13,16,81.2,57.0,93.4
typescript,ff_0000,docs_low_examples_low_contracts_low_state_low,4,16,25.0,10.2,49.5
typescript,ff_0011,docs_low_examples_low_contracts_high_state_high,12,16,75.0,50.5,89.8
typescript,ff_0101,docs_low_examples_high_contracts_low_state_high,6,16,37.5,18.5,61.4
typescript,ff_0110,docs_low_examples_high_contracts_high_state_low,14,16,87.5,64.0,96.5
typescript,ff_1001,docs_high_examples_low_contracts_low_state_high,5,16,31.2,14.2,55.6
typescript,ff_1010,docs_high_examples_low_contracts_high_state_low,13,16,81.2,57.0,93.4
typescript,ff_1100,docs_high_examples_high_contracts_low_state_low,8,16,50.0,28.0,72.0
typescript,ff_1111,docs_high_examples_high_contracts_high_state_high,13,16,81.2,57.0,93.4
